reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/00597/FUL,Replacement of the existing white upvc door with a new sliding oak door on the front elevation and replacement of the existing dormer roofs with hipped roofs,2023-05-16,local-authority:DNC,,,,
23/00599/FUL,"Erection of boundary wall and gates (Retrospective) with alterations to reduce sections of wall to 0.90m and top with metal railings (being resubmission of 22/01326/FUL, refused on 14/09/2022)",2023-05-25,local-authority:DNC,,,,
23/00600/FUL,Erection of single storey rear extension and double storey side extension,2023-06-05,local-authority:DNC,,,,
23/00603/FUL,"Erection of single storey rear extension, following demolition of conservatory.",2023-05-03,local-authority:DNC,,,,
23/00604/FUL,"Conversion of roof from hipped to pitched to create rooms in roof space including installation of dormer windows to front and rear, as well as demolition of conservatory to the rear (being resubmission of application 22/01852/FUL, refused on 27/10/22)",2023-11-03,local-authority:DNC,,,,
23/00606/FUL,"Internal first floor alterations, formation of a catslide dormer and pitched roof over flat roof bathroom.",2023-06-07,local-authority:DNC,,,,
23/00607/LBC,"Listed building consent for Internal first floor alterations, formation of a catslide dormer and pitched roof over flat roof bathroom.",2023-06-07,local-authority:DNC,,,,
23/00608/FUL,Erection of detached car port,2023-07-05,local-authority:DNC,,,,
23/00610/FUL,Erection of detached single storey annexe.,2023-06-07,local-authority:DNC,,,,
23/00611/FUL,"Erection of a rear single storey Orangery extension upon the removal of the existing Conservatory (Phase 2), and erection of a rear/side extension to enclose under croft parking (Phase 1).",2023-05-05,local-authority:DNC,,,,
23/00613/FUL,Erection of 1 no. dwellinghouse on garden land and associated external works including creation of new site access following demolition of outbuilding,2023-11-16,local-authority:DNC,,,,
23/00615/FUL,Erection of first floor extension to side of house above existing garage.,2023-05-04,local-authority:DNC,,,,
23/00617/COU,Proposed change of use of ground floor from Retail unit (Class E(a)) to Retail unit (Class E(b)) and drinking establishment (Class Sui Generis),2023-05-23,local-authority:DNC,,,,
23/00618/FUL,"Erection of ground floor extension with 1st floor balcony to the rear and 1st floor extension with hipped roof, including moving the side entrance doors forward to form internal lobby.",2023-06-06,local-authority:DNC,,,,
23/00619/FULM,"Erection of foodstore with car parking, landscaping and associated works (Without compliance of Conditions 2, 4 & 5 of Application Reference Number: 15/01398/FULM granted on 11/03/2016) (being variation of conditions 1 (Approved Plans) and 4 (Landscaping scheme) of planning application 19/00117/FULM granted 19/06/2019) - (Without compliance of conditions 1 (Plans) & 4 (Landscaping) of 22/01079/FULM granted on 22/07/2022)",2023-06-08,local-authority:DNC,,,,
23/00624/FUL,Demolition of existing dwelling and outbuildings and construction of 3 detached dwellings including alterations to existing and creation of new vehicle access,2024-05-13,local-authority:DNC,,,,
23/00626/FUL,Conversion of garage to garden room to include raising of garage roof and erection of rear extension plus installation of flue,2023-06-29,local-authority:DNC,,,,
23/00632/FUL,"Formation of first floor to dwelling, together with erection of garage / store to rear, following the demolition of the existing garage. (Being amendment to application granted under Ref 21/03667/FUL - Small extension to first floor).",2023-05-12,local-authority:DNC,,,,
23/00633/FUL,Installation of a EN12566-3 certified sewage treatment plant to replace septic tank (retrospective).,2023-07-28,local-authority:DNC,,,,
23/00636/FUL,Erection of single storey rear extension following demolition of conservatory,2023-05-25,local-authority:DNC,,,,
23/00638/FUL,Erection of single storey extension with balcony,2023-05-31,local-authority:DNC,,,,
23/00640/FUL,Erection of a 2 storey extension to the rear and a ground floor front Porch extension.,2023-05-05,local-authority:DNC,,,,
23/00641/FUL,Erection of 2 storey side extension and ground floor extension behind new side extension plus extension of existing drop kerb and widening of existing access.,2023-05-26,local-authority:DNC,,,,
23/00645/FULM,Proposed geomorphological and ecological enhancement scheme including associated landscaping and excavation works within the floodplain between the River Torne and the Mother Drain,2023-07-17,local-authority:DNC,,,,
23/00647/FUL,"Installation of a miners memorial wheel including a concrete pad, half wheel and steel artwork as well as alterations to the existing fencing by removing 3 panels and moving them to the sides and rear of the memorial.",2023-06-21,local-authority:DNC,,,,
23/00648/ADV,"Display of 10 x fascia signs, 4 x A0 aluminium poster frames, 1 x Silver anodised aluminium Owners plaque",2023-06-01,local-authority:DNC,,,,
23/00649/FUL,Erection of a detached dwelling and demolition of a garage,2023-05-25,local-authority:DNC,,,,
23/00650/FUL,To add render to all elevations and wood panels in place of red brick. To alter the existing openings to the bungalow and to create a raised car parking space off road.,2023-05-09,local-authority:DNC,,,,
23/00651/FUL,Change of use from the retail (Use Class E) to Nails Salon (Use Class Sui Generis),2023-10-19,local-authority:DNC,,,,
23/00654/FUL,"Erection of a single storey rear and side extensions, front porch, detached garden room/gym and boundary fence (Being resubmission of application refused under Ref: 22/01928/FUL on 30.01.2023)",2023-08-01,local-authority:DNC,,,,
23/00658/FUL,Flue for log burner through roof (retrospective),2023-06-07,local-authority:DNC,,,,
23/00659/FUL,Demolition of existing single storey rear extension and erection of new single storey rear extension,2023-05-11,local-authority:DNC,,,,
23/00662/ADV,Display of Non illuminated fixed signs.,2023-06-07,local-authority:DNC,,,,
23/00663/FUL,Convert attached garage into living space with new window to front elevation. Replace window on rear elevation with bifold door.,2023-05-18,local-authority:DNC,,,,
23/00664/FUL,Erection of a two storey side extension.,2023-05-30,local-authority:DNC,,,,
23/00666/FUL,Demolition of existing outbuilding and erection of small annexe building which will also include making good of existing limestone boundary wall where required.,2023-06-29,local-authority:DNC,,,,
23/00668/FUL,"Proposed change of use from office (Use Class E) to drinking establishment with expanded food provision (Sui Generis) at the ground floor and 1 bedroom apartment (C3) at the first floor, with associated external alterations",2023-06-22,local-authority:DNC,,,,
23/00670/FUL,Subdivision of first floor of existing dwelling to create a new one-bedroom self-contained apartment (C3) and retention of existing unauthorised top floor one-bedroom apartment (C3),2023-10-03,local-authority:DNC,,,,
23/00673/FUL,"Development of 4 2-storey detached dwellings,  with associated landscaping and site works (without compliance with condition 4 of planning application 20/01042/FUL granted on 30/09/2020 (Details of boundary walls to be approved))",2023-07-18,local-authority:DNC,,,,
23/00676/COU,Change of use from personal gym to studio space for work as a personal trainer for training/exercise sessions and group classes (Retrospective),2023-05-25,local-authority:DNC,,,,
23/00677/FUL,Change of use of Retail unit (Class E(a)) to Restaurant with ancillary Hot Food Takeaway (Sui Generis) (Part retrospective),2023-10-13,local-authority:DNC,,,,
23/00678/ADV,Display of internally illuminated EV 5m Totem Pole Sign,2023-06-05,local-authority:DNC,,,,
23/00679/FUL,Removal of existing garage and re-build with new side extension and internal alterations.,2023-05-23,local-authority:DNC,,,,
23/00682/FUL,Formation of semi-permanent platform/ramp to the front garden of the property to provide wheelchair access,2023-06-12,local-authority:DNC,,,,
23/00686/FUL,Erection of a single storey rear extension and a two storey side extension.,2023-05-19,local-authority:DNC,,,,
23/00687/FUL,"Erection of side entrance porch and front extension link to garage, window alterations and application of render to the existing property plus installation of PV panels, log burner and chimney.",2023-06-19,local-authority:DNC,,,,
23/00693/ADV,"Display of 1 Fascia Mounted Banner Sign - 550gsm fabric material. Mechanically fixed to existing wall. Max letter height 100mm. 1 Post sign made from 3mm Dibond (Aluminium composite material), Fixed to 2 metal poles mechanically fixed to existing wall. Letters to be vinyl applied to face of sign; max letter height 100mm. *Sign mirrored on opposite side*. Window Vinyl's as illustrated. - Installed to inside face of existing windows. (retrospective)",2023-07-05,local-authority:DNC,,,,
23/00697/FUL,Erection of a detached Garage/Gymnasium to the side of the dwelling house.,2023-05-24,local-authority:DNC,,,,
23/00699/FULM,"Reconfiguration and extension of existing rail terminal facility at iPort including areas for storage, associated parking, formation of vehicular access, and siting of ancillary structures.",2023-07-14,local-authority:DNC,,,,
23/00701/FUL,"Erection of 1 building to provide 2 self-contained units of flexible accommodation (use class B2 and B8), car parking, access and associated works.",2024-07-29,local-authority:DNC,,,,
23/00702/LBC,Replacement of windows and doors in timber,2023-07-27,local-authority:DNC,,,,
23/00703/FUL,Erection of 2 storey side extension.,2023-05-15,local-authority:DNC,,,,
23/00706/TPO,"Consent to crown reduce, Sycamore trees along the northern boundary south side of trees by 2.5 meters, bringing the drip line of trees to approximately 2 meters from northern edge of lawn and crown Sycamore trees to west of driveway; reduce eastern side of canopy back by 3 meters. All works with a maximum pruning wound size equal to or less than 50mm,. The trees are subject to G17 Doncaster Borough Council Tree Preservation Order (No.207) 1999 Sprotbrough Village.",2023-06-19,local-authority:DNC,,,,
23/00710/FUL,Installation of an additional secure storage container to the rear of the telephone exchange.,2023-12-14,local-authority:DNC,,,,
23/00712/FUL,Erection of single storey front extension and porch,2023-06-07,local-authority:DNC,,,,
23/00714/FUL,Erection of an agricultural lean-to and installation of a biomass boiler,2023-05-23,local-authority:DNC,,,,
23/00715/FUL,Erection of first floor rear extension over existing ground floor rear extension to two storey dwelling,2023-06-05,local-authority:DNC,,,,
23/00719/FUL,Proposed use of former convent as 2No Childrens Care Home (Use Class C2) including minor external alterations,2023-11-15,local-authority:DNC,,,,
23/00721/FUL,Application to amend condition 2 (plans) of application 18/02483/FUL (granted 11.12.2018): 'Erection of 2 pairs of semi detached dwellings and 1 detached dwelling' ; (amended layout),2023-11-10,local-authority:DNC,,,,
23/00723/FUL,"Erection of single storey rear extension, loft conversion including raising and alterations to the roof and erection of front lobby",2023-06-29,local-authority:DNC,,,,
23/00724/FUL,Erection of a detached pergola to the front of the existing property,2023-09-19,local-authority:DNC,,,,
23/00725/FUL,Demolition of existing building and erection of a replacement storage building for vehicle parts,2023-07-27,local-authority:DNC,,,,
23/00726/FUL,"Conversion of existing building to form a single dwelling, including some external alterations and landscaping.",2023-11-30,local-authority:DNC,,,,
23/00728/FUL,Erection of single storey extension to rear,2023-05-26,local-authority:DNC,,,,
23/00729/FUL,Demolition of detached bungalow and construction of new detached dwelling,2023-06-08,local-authority:DNC,,,,
23/00731/FUL,Erection of single storey extension to rear attached to side of existing rear extension,2023-06-12,local-authority:DNC,,,,
23/00732/FUL,Erection of single storey extension to the rear of the property,2023-06-20,local-authority:DNC,,,,
23/00734/FUL,"Erection of 1 no. two-storey modular building and 1 no. one-storey modular building and associated works, following demolition of 4 no. existing modular buildings",2023-07-07,local-authority:DNC,,,,
23/00739/FUL,Erection of single storey side extension,2023-06-12,local-authority:DNC,,,,
23/00743/FUL,"Construction of 4 self contained apartments and associated parking, in variation to those approved under 18/02859/FULM",2023-06-23,local-authority:DNC,,,,
23/00744/FUL,Erection of two storey extension to side of semi detached dwelling,2023-06-22,local-authority:DNC,,,,
23/00751/FUL,Erection of first floor side extension (being resubmission of planning application 23/00302/FUL refused on 05.04.2023).,2023-05-16,local-authority:DNC,,,,
23/00752/FUL,Change of use of the site from a fireplace manufacturing and sales unit to a car sales pitch,2023-08-17,local-authority:DNC,,,,
23/00753/FUL,Erection of single storey extensions to side and rear.,2023-06-13,local-authority:DNC,,,,
23/00756/FUL,Erection of single storey side and rear extensions to existing scout headquarters building,2023-06-30,local-authority:DNC,,,,
23/00757/TPO,"Consent to selectively crown lift and crown thin/clean trees to provide clearance of the road, footpath and remove damaged branches, in addition to undertake soil remediation as described within arboricultural report (Reference: AWA4434) appendix 5 and arboricultural mitigation report (Reference: AWA5230). The trees are subject to T1, T2, T3, T4, T6, T7 and G1 of Doncaster Borough Council Tree Preservation Order (No.405) 2018  Eastfield Hall, Moss Road, Askern, Doncaster, DN60JZ.",2023-05-26,local-authority:DNC,,,,
23/00759/FUL,Erection of single storey rear extension,2023-06-19,local-authority:DNC,,,,
23/00760/FUL,Installation of external disabled platform lift with associated external alterations to access arrangements,2023-06-22,local-authority:DNC,,,,
23/00761/FULM,A proposed change of use from a day nursery to 13 no 1 and 2 bed residential apartments. (a resubmission of application 22/02738/FULM),2023-07-12,local-authority:DNC,,,,
23/00762/FUL,AMENDED - Erection of a two storey rear extension with balcony and erection of a front Porch.,2023-09-21,local-authority:DNC,,,,
23/00766/FUL,Erection of one and a half storey extension and raising of existing roof to form dormer bungalow. Installation of render to sides and rear of property.,2024-05-02,local-authority:DNC,,,,
23/00769/COU,Change of use from Retail (Class E) to Adult Gaming & Amusement Arcade (Sui Generis),2023-10-18,local-authority:DNC,,,,
23/00771/FUL,"Section 73 application to vary condition 2 (approved plans) of planning application 20/00471/FUL (to include an orangery on both plots), and to vary conditions 8, 9, 11, 12 and remove condition 13 to align the application with information submitted to discharge these conditions through 22/01607/COND",2023-09-28,local-authority:DNC,,,,
23/00774/FUL,Existing Conservatory to be refurbished and extended,2023-05-26,local-authority:DNC,,,,
23/00777/FUL,"Erection of a two storey side extension and single storey Porch (Being resubmission of application 23/00273/FUL, refused on 04/04/2023).",2023-05-18,local-authority:DNC,,,,
23/00778/FUL,Erection of single storey extension to side of dwelling house to create a ground floor Shower Room.,2023-05-18,local-authority:DNC,,,,
23/00779/FUL,"Erection of two storey extension to the rear and side and replacement conservatory, following demolition of existing single storey garage and adjacent conservatory.",2023-05-25,local-authority:DNC,,,,
23/00785/TPO,Consent to crown clean and crown lift oak (T5) to 5.5m above ground level by removal of one scaffold branch growing north at 4m (100mm diameter wound) and two scaffold branches growing south at 4.5m (100mm diameter wounds); the tree being subject to T290 of Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley,2023-06-08,local-authority:DNC,,,,
23/00786/FUL,Installation of an external air conditioning unit to rear,2023-07-04,local-authority:DNC,,,,
23/00788/FUL,Application to vary conditions 3 (opening hours) and 4 (maximum number of children) of permission 21/00537/FUL - to increase the operating hours to 8am to 5:30pm and to increase the capacity of the childminding business from 9 to 10 children,2023-12-08,local-authority:DNC,,,,
23/00790/FUL,Erection of a two storey extension to side with associated internal alterations following demolition of existing joining garage,2023-06-21,local-authority:DNC,,,,
23/00791/FUL,Section 73 application to vary condition 2 (approved plans) of planning application 11/02235/FUL (granted on appeal 06/06/2012) - to change the orientation of the proposed church building,2023-06-15,local-authority:DNC,,,,
23/00795/FUL,Erection of 2 ancillary day rooms,2023-09-06,local-authority:DNC,,,,
23/00801/FUL,"Erection of a detached garage and revised access, Retrospective application for retention of wall and single storey extensions with internal alterations (Being resubmission of application 20/00508/FUL granted 29.04.2020 & 22/01527/FUL withdrawn on 26.04.2023)",2023-06-12,local-authority:DNC,,,,
23/00803/MIN,A planning application for the extraction of sand and gravel and restoration to woodland and agriculture (AMENDMENT) new document  to consider to address EA and LLFA concerns),2024-06-27,local-authority:DNC,,,,
23/00806/REM,"Details of layout, scale, appearance and landscaping for the erection of a detached dwelling and garage (Being matters reserved in outline application 21/02403/OUT granted 10/01/2023)",2023-08-22,local-authority:DNC,,,,
23/00807/ADV,"Retention of totem signage at entrance to Frenchgate car park on West Laith Gate.
",2023-06-20,local-authority:DNC,,,,
23/00810/COU,Change of use from C3 (Dwelling) to C1 (short term letting).,2024-02-16,local-authority:DNC,,,,
23/00814/FUL,Installation of sun canopy 6m x 3m on front of building to replace existing (unauthorised) canopy,2023-07-10,local-authority:DNC,,,,
23/00815/COU,Change of use of existing ground floor apartment (use class C3) to commercial (use class E(e)) as an extension of existing adjacent ground floor commercial use.,2023-08-02,local-authority:DNC,,,,
23/00816/FUL,"Erection of single storey extensions to the side and front (Porch) to the semi-detached dwelling house, plus alterations.",2023-05-25,local-authority:DNC,,,,
23/00818/FUL,Erection of single storey garden room/bin store to replace existing outbuilding,2023-05-26,local-authority:DNC,,,,
23/00820/ADV,Display of A1 size free standing sign.,2023-08-01,local-authority:DNC,,,,
23/00821/TPO,"Consent to selectively shorten three lateral branches and other minor laterals in the upper canopy on the eastern side of the canopy of one Beech tree. The maximum pruning wounds will be approximately 35mm diameter. The tree is subject to G4 of Doncaster Borough Council Tree Preservation Order (No.52) 1989 Bawtry Hall, Bawtry.",2023-07-10,local-authority:DNC,,,,
23/00823/FUL,"External alterations to an outbuilding, including an extension to the north of the building and the installation of a new roof",2024-06-27,local-authority:DNC,,,,
23/00825/FUL,Erection of a flat roof single storey extension to the rear of a detached house.,2023-05-25,local-authority:DNC,,,,
23/00831/FUL,Raising of roof height in connection with formation of rooms in roof space including installation of dormer windows to front and rear elevation. Replace windows and render the existing dwelling,2023-06-30,local-authority:DNC,,,,
23/00834/FUL,Section 73 application to vary condition 2 (approved plans) of planning application 21/02856/FUL (to make alterations to the roof line and roof forms and to move the dwelling further into the rear of the plot and to retain the existing triple garage),2023-06-15,local-authority:DNC,,,,
23/00838/FUL,"All-weather riding arena for private use only
",2024-02-27,local-authority:DNC,,,,
23/00846/FUL,Overlay the existing South Block roof.  Propose to replace damaged sections of insulation and that all plant and pipework is to be raised by 150mm.,2023-07-04,local-authority:DNC,,,,
23/00848/FUL,Erection of rear extension to house and extension of garage,2023-07-28,local-authority:DNC,,,,
23/00851/FUL,"The construction of 1 new dosing kiosk and 1 Sequential Batch Reactor Motor Control Centre (MCC) kiosk,",2023-08-30,local-authority:DNC,,,,
23/00856/ADV,"Proposal to install 4x Fascia sign, 1x Projecting sign, 3x Vinyl, 2x Dibond signage",2023-07-28,local-authority:DNC,,,,
23/00859/FUL,"Proposed installation of 4 car parking spaces, 1 disabled car parking space and the erection of a 2.4m high palisade fence.",2023-06-23,local-authority:DNC,,,,
23/00862/FUL,Erection of single storey front and rear extensions and associated external works.,2023-07-05,local-authority:DNC,,,,
23/00863/FUL,"Proposed removal of mono-pitch roof of the existing single storey north wing and replacement with a first floor extension, and installation of a dropped kerb along the site frontage",2023-08-22,local-authority:DNC,,,,
23/00868/FUL,Replacement windows to front elevation within a conservation area.,2023-10-02,local-authority:DNC,,,,
23/00872/FUL,Erection of a flat roof single storey extension to rear.,2023-06-05,local-authority:DNC,,,,
23/00873/FUL,"Erection of stables & ancillary equestrian paraphernalia, adjacent enclosed paddock (for private use).",2023-08-21,local-authority:DNC,,,,
23/00874/FUL,Replacement of existing windows & doors. Installation of solar panels to garage roof.,2023-11-17,local-authority:DNC,,,,
23/00875/LBC,Listed Building Consent for replacement of existing windows & doors and installation of solar panels to garage roof.,2023-11-17,local-authority:DNC,,,,
23/00876/FUL,"Erection of a ground floor extension to the rear, following demolition of the existing conservatory.",2023-06-07,local-authority:DNC,,,,
23/00881/FUL,Erection of detached single garage & conversion of existing integral garage into study,2023-10-04,local-authority:DNC,,,,
23/00884/FUL,Erection of garden room and store within rear garden.,2023-06-26,local-authority:DNC,,,,
23/00888/FUL,Demolition of the existing boathouse and erection of a two storey building and landscaping alterations including an expansion of the existing boat yard area,2024-05-16,local-authority:DNC,,,,
23/00891/FUL,Erection of annexe in rear garden in place of existing garage and store,2023-07-14,local-authority:DNC,,,,
23/00892/FUL,Erection of 2 storey side extension.,2023-10-20,local-authority:DNC,,,,
23/00896/FUL,"Erection of part two storey rear extension with Juliet balcony, part single storey rear extension, plus ground floor extension to the front",2023-06-29,local-authority:DNC,,,,
23/00897/ADV,"Display of 2x Fascia sign, 1x Projecting sign, 5x Vinyls, 1x Dibond.",2023-06-09,local-authority:DNC,,,,
23/00902/PRIOR,Application to determine if prior approval is required for a proposed change of use of an agricultural storage building to a residential dwelling (Use Class C3),2023-06-29,local-authority:DNC,,,,
23/00904/FUL,Erection of first floor rear extension.,2023-06-30,local-authority:DNC,,,,
23/00911/FUL,Erection of fencing to site boundary. Retrospective.,2023-06-19,local-authority:DNC,,,,
23/00913/REMM,"Details of the matters reserved as part of outline planning permission 17/02733/OUTM including appearance, landscaping, layout and scale for the erection of 8 industrial warehouse units.",2023-09-06,local-authority:DNC,,,,
23/00914/FUL,Conversion and extension of former workshop to create a spa and restaurant,2023-11-09,local-authority:DNC,,,,
23/00915/FUL,Retrospective application for the installation of a temporary overlay road bridge to support the existing road bridge structure for a period of 6 months.,2023-09-18,local-authority:DNC,,,,
23/00916/FUL,"Formation of a dropped kerb outside 109, Kirton Lane, Thorne, Doncaster.",2023-06-28,local-authority:DNC,,,,
23/00917/FUL,Erection of rear single story extension.,2023-06-28,local-authority:DNC,,,,
23/00918/FUL,"Erection of two storey side & rear extension, and single storey side & rear extension",2023-07-27,local-authority:DNC,,,,
23/00920/FUL,Erection of single storey rear extension following demolition of existing conservatory,2023-06-30,local-authority:DNC,,,,
23/00922/FUL,"Erection of a 2 storey side/rear extension, a ground floor rear extension and a porch extension to the front elevation.",2023-06-15,local-authority:DNC,,,,
23/00924/FUL,Change of use from A1 shop to 1 bedroom flat.,2023-06-28,local-authority:DNC,,,,
23/00925/TPO,Consent to fell and replace 10 sycamore and one oak; the trees being subject to G55 of Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley,2023-08-18,local-authority:DNC,,,,
23/00926/4FUL,"Continued use of modular building as children's nursery - Use Class E(f) for 12 month temporary period (renewal of temporary permission granted under planning application 19/00068/4FUL, resubmission of application: 23/00326/4FUL, withdrawn on 6/4/2023).",2023-06-28,local-authority:DNC,,,,
23/00928/FUL,"Erection of an extension to the front of 8 buildings, with the existing wall and door to be removed, to allow a single entrance for each building instead of a shared entrance",2023-07-27,local-authority:DNC,,,,
23/00934/FUL,Erection of a rear extension and render rear elevation,2023-06-27,local-authority:DNC,,,,
23/00939/FUL,"Erection of front single storey, two storey side and single storey rear extensions following demolition of existing garage.",2023-07-04,local-authority:DNC,,,,
23/00941/FUL,Proposed part conversion of an existing double garage to create new bedroom and utility room.,2023-07-28,local-authority:DNC,,,,
23/00942/FUL,Erection of single storey rear extension & flat roof gazebo to side,2023-06-30,local-authority:DNC,,,,
23/00950/OUT,Outline application with some reserved matters (approval sought for access and layout) for a single storey bungalow,2023-09-12,local-authority:DNC,,,,
23/00955/FUL,Erection of 2 storey side extension and ground floor front porch extension,2023-08-16,local-authority:DNC,,,,
23/00962/FUL,Addition of rear and side extensions to existing bungalow.,2023-06-08,local-authority:DNC,,,,
23/00963/LBC,Listed building consent for window replacement.,2023-08-03,local-authority:DNC,,,,
23/00964/PRIOR,Notification to determine if prior approval is required for the change of use from commercial/retail (Use Class E) to 3 no. one and two bedroom flats,2023-07-07,local-authority:DNC,,,,
23/00968/3FUL,Removal of existing ground floor kitchen extension and replacing with new kitchen/bedroom ground floor extension.,2023-06-30,local-authority:DNC,,,,
23/00973/FUL,Erection of outbuilding and boundary walls,2023-07-19,local-authority:DNC,,,,
23/00977/FUL,Erection of detached outbuilding/garage following demolition of original garage (Retrospective),2024-03-21,local-authority:DNC,,,,
23/00979/FUL,Erection of a flat roof extension (Home Gym/Office) to the existing Outbuilding. Erection of a flat roof detached Store and retrospective planning permission for the existing Outbuilding (being a resubmission of 22/01212/FUL).,2023-06-09,local-authority:DNC,,,,
23/00980/FUL,Proposed loft conversion to include rear dormer window and erection of single storey rear extension,2023-07-12,local-authority:DNC,,,,
23/00981/FUL,"Conversion works to form 2 flats and convert loft to provide additional space, along with a rear dormer and single storey rear extension. (Amended Description)",2023-07-20,local-authority:DNC,,,,
23/00987/FUL,"Change of use of disused mess hall into a new digital forensics laboratory, including external alterations to the existing building, and installation of car parking spaces",2023-07-18,local-authority:DNC,,,,
23/00989/FUL,Erection of a new detached dwelling and boundary railings following the demolition of existing detached bungalow and outbuildings,2023-10-06,local-authority:DNC,,,,
23/00990/TPO,Consent to crown reduce lower canopy back by 2 meters through northern aspect (40mm max pruning diameter) & 2.5 meters through mid/upper canopy (50mm max pruning diameter) on western aspect of one Sycamore (T1). The tree is subject to G47 of Doncaster Borough Council Tree Preservation Order (No.207) 1999 Sprotbrough Village.,2023-10-02,local-authority:DNC,,,,
23/00992/FUL,"AMENDED - Erection of double garage/utility, porch and raised patio area, following demolition of existing garage. Raising of roof height in connection with formation of rooms in roof space and installation of two pitched roof dormer windows to the rear elevation.",2023-06-23,local-authority:DNC,,,,
23/00995/FUL,"Erection of 4 dwellings (being partial resubmission of previous permission 21/02765/REM, granted on 09.06.2022 - replacing plots 2 & 3 with 4 smaller dwellings - plot 1 in original position) 
",2023-09-11,local-authority:DNC,,,,
23/00996/FUL,Erection of single storey rear extension and new boundary wall and fence.,2023-06-23,local-authority:DNC,,,,
23/00997/FUL,Erection of single storey side extension.,2023-07-10,local-authority:DNC,,,,
23/00998/FUL,Erection of two storey pitched roof extension to side/rear following demolition of existing garage (being resubmission of application 22/02100/FUL - Erection of two storey pitched roof extension to side/rear of semi detached house following demolition of existing garage - Granted 14.02.2023),2023-06-13,local-authority:DNC,,,,
23/00999/LBC,Listed building consent to install a new air conditioning condenser on Platform 1,2023-07-05,local-authority:DNC,,,,
23/01000/FUL,Erection of single story side extension.,2023-07-11,local-authority:DNC,,,,
23/01002/FUL,Erection of single storey side extension.,2023-06-13,local-authority:DNC,,,,
23/01003/FUL,Erection of single storey mono pitched rear extension following demolition of the existing extension,2023-07-13,local-authority:DNC,,,,
23/01004/FUL,Erection of single storey side and rear extension.,2023-06-30,local-authority:DNC,,,,
23/01005/FUL,Erection of ancillary detached garage and office building (C3 use) with attached canopy in rear garden following demolition of existing outbuilding,2023-08-08,local-authority:DNC,,,,
23/01007/FUL,Erection of 2 storey rear extension.,2023-11-27,local-authority:DNC,,,,
23/01010/FUL,Erection of two storey side extension with single storey rear and front extension attached (PART-RETROSPECTIVE)..,2023-07-28,local-authority:DNC,,,,
23/01011/FUL,"Application for a change of use from an existing office to a medical/health service use.
",2023-09-04,local-authority:DNC,,,,
23/01013/LBC,Listed building consent to install rainwater goods to gable,2023-07-12,local-authority:DNC,,,,
23/01014/FUL,"Internal structural alterations, a roof replacement and new rear windows, and erection of a new single storey rear extension.  Demolition of existing garage outbuilding and erection of new garden store room and car port in the rear garden.",2023-10-27,local-authority:DNC,,,,
23/01015/LBC,"Listed building consent for Internal structural alterations, a roof replacement and new rear windows, and erection of a new single storey rear extension.  Demolition of existing garage outbuilding and erection of new garden store room and car port in the rear garden.",2023-10-27,local-authority:DNC,,,,
23/01018/FUL,Erection of first floor side extension above existing structure.,2023-07-24,local-authority:DNC,,,,
23/01021/FUL,AMENDED DESCRIPTION AND PLANS: Retrospective change of use of upper floors to create 2x 1 bedroom flats including erection of outdoor staircase and proposed associated alterations to the exterior.,2023-10-10,local-authority:DNC,,,,
23/01024/FUL,"Erection of detached single storey day care nursery and associated landscaping (being resubmission of application 22/02336/FUL, refused on 24.02.2023)",2023-08-14,local-authority:DNC,,,,
23/01025/FUL,Erection of a rear ground floor (infill) extension.,2023-06-13,local-authority:DNC,,,,
23/01027/FUL,Erection of agricultural workers dwelling,2024-09-04,local-authority:DNC,,,,
23/01028/TPO,"Consent to crown thin by 20% and reshape branch terminals of one whitebeam; the tree being subject to T5 of Doncaster Borough Council Tree Preservation Order (No.64) 1991
Bessacarr with Cantley",2023-06-12,local-authority:DNC,,,,
23/01030/PRIOR,"Notification to determine if prior approval is required for the conversion of part of an existing retail unit into a flat, retaining the ground floor as a retail unit",2023-07-17,local-authority:DNC,,,,
23/01032/FUL,Erection of 5 dwellings following demolition of existing public house (part retrospective) (UPDATED DRAINAGE INFO),2024-05-02,local-authority:DNC,,,,
23/01033/COU,Change of use from a dwelling (Use Class C3) to a 4-bedroom HMO (Use Class C4),2023-06-21,local-authority:DNC,,,,
23/01034/FUL,Proposed alterations to existing garage to facilitate the running of a dog grooming business.,2023-08-07,local-authority:DNC,,,,
23/01035/FUL,"Erection of single storey extension to front corner, new doors and render side elevation.",2023-07-12,local-authority:DNC,,,,
23/01036/FUL,"Alterations to car park to install EV chargers and associated infrastructure to include substation, LV panels, HP cabinets and lighting",2023-09-14,local-authority:DNC,,,,
23/01038/TPO,"Consent to fell one pine; the tree being within W1 of Doncaster Borough Council Tree Preservation Order (No.68) 1990 Off Stripe Road, Rossington",2023-06-12,local-authority:DNC,,,,
23/01041/FUL,Removal of old timber windows and doors and replacement with new UPVC.,2023-09-05,local-authority:DNC,,,,
23/01043/FUL,"Alterations to basement, installation of solar panels and refurbishment of the existing structure over the fire escape stair, railings and rebuilding with associated works.",2023-09-15,local-authority:DNC,,,,
23/01044/LBC,"Alterations to basement, internal alterations, installation of solar panels and refurbishment of the existing structure over the fire escape stair, railings and rebuilding with associated works.",2023-09-15,local-authority:DNC,,,,
