reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/00070/FUL,Erection of a single storey extension with pitched roof to rear of property,2023-07-11,local-authority:DNC,,,,
23/00071/FUL,Erection of ground floor rear extension and supported first floor extension with carport below following demolition of existing conservatory.,2023-03-16,local-authority:DNC,,,,
23/00072/FUL,Erection of ground floor and first floor side extension and single storey rear/side extension following demolition of existing conservatory,2023-03-14,local-authority:DNC,,,,
23/00073/FUL,"Erection of a single storey rear extension and first floor side extension to the dwelling house, following demolition of the existing extensions.",2023-02-27,local-authority:DNC,,,,
23/00075/FUL,Conversion of loft to bedroom with gable wall and dormer windows to rear of dwelling.,2023-06-09,local-authority:DNC,,,,
23/00078/FUL,Erection of one-and-a-half storey bungalow and creation of new driveway with vehicular access,2023-03-17,local-authority:DNC,,,,
23/00079/FUL,AMENDED: Erection of ground floor extension to front and rear plus demolition of existing chimney,2023-03-30,local-authority:DNC,,,,
23/00080/FUL,"Application to vary condition 03 (approved plans) of planning application 22/00068/FUL granted on 28.03.2022; 'Proposed Ground & First Floor Front Extensions, Renovation of Existing Front Dormer Windows, Internal Alterations & Reconfiguration of Existing Room Arrangements to Improve Services (without compliance with condition 3 of planning application.'
- amended plans for reduction in size",2023-04-26,local-authority:DNC,,,,
23/00082/FUL,Erection of a two storey extension to rear of dwelling and a single storey side extension above flat roof kitchen extension. Erection of a double detached garage with utility room and new entrance to the highway.,2023-06-27,local-authority:DNC,,,,
23/00083/FUL,Erection of a rear first floor level extension to the dwelling house and an extension to the existing rear dormer. Plus an extension to existing front dormer.,2023-03-06,local-authority:DNC,,,,
23/00086/FUL,Erection of a garden room following demolition of existing outbuilding.,2023-03-16,local-authority:DNC,,,,
23/00092/FUL,"Installation of hard surfaced car park, with associated access following site clearance",2023-10-10,local-authority:DNC,,,,
23/00093/FUL,"Erection of 2 storey extension to the rear and 2 storey extension to each side, following removal of conservatory, study and detached garage (without compliance with condition 02 of planning application 20/00887/FUL granted on 18/05/2020)",2023-04-24,local-authority:DNC,,,,
23/00094/FULM,Replacement of roof parapets,2023-03-06,local-authority:DNC,,,,
23/00097/ADV,Display of internally illuminated and non-illuminated brand signage to replace existing brand signage,2023-03-21,local-authority:DNC,,,,
23/00098/FUL,Erection of a timber framed shed/gymnasium building to rear of existing extension - Retrospective,2023-03-16,local-authority:DNC,,,,
23/00105/TPO,Consent to selectively remove on 140mm diameter branch and tip reduction pruning of up to 1m to suitable pruning points as approximately shown in annotated pictures on one Holm Oak (T1). The tree is subject to T25 of Doncaster Borough Council Tree Preservation Order (No.211) 1998 Wadworth.,2023-03-14,local-authority:DNC,,,,
23/00106/OUT,Outline application for the erection of 2 detached dwellings each with a detached garage on approx 0.181 ha of land following demolition of outbuilding.(Approval being sought for access ),2024-11-01,local-authority:DNC,,,,
23/00107/FUL,"Erection of a 2 storey side and rear extension and raising of roof line of existing extension. 
",2023-03-28,local-authority:DNC,,,,
