reference,planning-application,planning-condition,documentation-url,document-url,organisation,notes,entry-date,start-date,end-date
20/02844/FUL-10,20/02844/FUL,U0125643,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/02844/FUL-11,20/02844/FUL,U0125644,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/02844/FUL-12,20/02844/FUL,U0125645,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/02844/FUL-13,20/02844/FUL,U0125646,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/02844/FUL-14,20/02844/FUL,U0125647,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/02844/FUL-15,20/02844/FUL,U0125648,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/02844/FUL-16,20/02844/FUL,U0125649,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/02844/FUL-17,20/02844/FUL,U0125650,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/02844/FUL-18,20/02844/FUL,U0125651,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/02844/FUL-19,20/02844/FUL,U0125652,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/02844/FUL,,local-authority:DNC,,2024-08-08,2024-08-08,
20/03415/FULM-1,20/03415/FULM,U0128872,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-2,20/03415/FULM,U0128873,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-3,20/03415/FULM,U0128874,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-4,20/03415/FULM,U0128875,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-5,20/03415/FULM,U0128876,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-6,20/03415/FULM,U0128877,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-7,20/03415/FULM,U0128878,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
