reference,planning-application,planning-condition,documentation-url,document-url,organisation,notes,entry-date,start-date,end-date
21/00433/MIN-36,21/00433/MIN,U0125262,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-37,21/00433/MIN,U0125263,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-38,21/00433/MIN,U0125264,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-39,21/00433/MIN,U0125265,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-40,21/00433/MIN,U0125266,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00450/FUL-1,21/00450/FUL,U0119519,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00450/FUL,,local-authority:DNC,,2024-02-29,2024-02-29,
21/00450/FUL-2,21/00450/FUL,U0119520,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00450/FUL,,local-authority:DNC,,2024-02-29,2024-02-29,
21/00474/FULM-1,21/00474/FULM,U0125878,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-2,21/00474/FULM,U0125879,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-3,21/00474/FULM,U0125880,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-4,21/00474/FULM,U0125881,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-5,21/00474/FULM,U0125882,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-6,21/00474/FULM,U0125883,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-7,21/00474/FULM,U0125884,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-8,21/00474/FULM,U0125886,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-9,21/00474/FULM,U0125887,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-10,21/00474/FULM,U0125888,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-11,21/00474/FULM,U0125889,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-12,21/00474/FULM,U0125890,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00474/FULM-13,21/00474/FULM,U0125891,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00474/FULM,,local-authority:DNC,,2024-08-16,2024-08-16,
21/00583/FUL-1,21/00583/FUL,U0118894,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00583/FUL,,local-authority:DNC,,2024-02-14,2024-02-14,
21/00968/FULM-1,21/00968/FULM,STAT1,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00968/FULM,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00968/FULM-2,21/00968/FULM,U0125132,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00968/FULM,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00968/FULM-3,21/00968/FULM,U0125133,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00968/FULM,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00968/FULM-4,21/00968/FULM,U0125134,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00968/FULM,,local-authority:DNC,,2024-07-26,2024-07-26,
