reference,planning-application,planning-condition,documentation-url,document-url,organisation,notes,entry-date,start-date,end-date
23/00002/FUL-1,23/00002/FUL,STAT1,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00002/FUL,,	local-authority:DNC,can not link directly to the decision notice so linking through to collection of documents for application,2023-05-09,2023-05-09,
23/00002/FUL-2,23/00002/FUL,U0109272,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00002/FUL,,	local-authority:DNC,,2023-05-09,2023-05-09,
23/00002/FUL-3,23/00002/FUL,HIGH1,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00002/FUL,,	local-authority:DNC,,2023-05-09,2023-05-09,
23/00002/FUL-4,23/00002/FUL,HIGH2,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00002/FUL,,	local-authority:DNC,,2023-05-09,2023-05-09,
23/00002/FUL-5,23/00002/FUL,HIGH3,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00002/FUL,,	local-authority:DNC,,2023-05-09,2023-05-09,
23/00002/FUL-6,23/00002/FUL,U0109273,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00002/FUL,,	local-authority:DNC,,2023-05-09,2023-05-09,
23/00004/3FUL-1,23/00004/3FUL,STAT1,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00004/3FUL,,	local-authority:DNC,,2023-10-04,2023-10-04,
23/00004/3FUL-2,23/00004/3FUL,U0113834,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00004/3FUL,,	local-authority:DNC,,2023-10-04,2023-10-04,
23/00004/3FUL-3,23/00004/3FUL,U0113835,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00004/3FUL,,	local-authority:DNC,,2023-10-04,2023-10-04,
23/00004/3FUL-4,23/00004/3FUL,CON2B,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00004/3FUL,,	local-authority:DNC,,2023-10-04,2023-10-04,
23/00004/3FUL-5,23/00004/3FUL,CON3B,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00004/3FUL,,	local-authority:DNC,,2023-10-04,2023-10-04,
23/00004/3FUL-6,23/00004/3FUL,U0113836,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00004/3FUL,,	local-authority:DNC,,2023-10-04,2023-10-04,
23/00004/3FUL-7,23/00004/3FUL,U0113837,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00004/3FUL,,	local-authority:DNC,,2023-10-04,2023-10-04,
23/00004/3FUL-8,23/00004/3FUL,U0113838,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00004/3FUL,,	local-authority:DNC,,2023-10-04,2023-10-04,
23/00005/LBC-1,23/00005/LBC,STAT7,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00005/LBC,,	local-authority:DNC,,2023-03-06,2023-03-06,
23/00005/LBC-2,23/00005/LBC,U0106580,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00005/LBC,,	local-authority:DNC,,2023-03-06,2023-03-06,
23/00006/ADV-1,23/00006/ADV,ADVTIA,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00006/ADV,,	local-authority:DNC,,2023-03-03,2023-03-03,
23/00006/ADV-2,23/00006/ADV,U0106537,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00006/ADV,,	local-authority:DNC,,2023-03-03,2023-03-03,
23/00006/ADV-3,23/00006/ADV,ADV10A,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00006/ADV,,	local-authority:DNC,,2023-03-03,2023-03-03,
23/00006/ADV-4,23/00006/ADV,ADVT2,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00006/ADV,,	local-authority:DNC,,2023-03-03,2023-03-03,
23/00006/ADV-5,23/00006/ADV,ADVT3,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00006/ADV,,	local-authority:DNC,,2023-03-03,2023-03-03,
23/00006/ADV-6,23/00006/ADV,ADVT4,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00006/ADV,,	local-authority:DNC,,2023-03-03,2023-03-03,
23/00006/ADV-7,23/00006/ADV,ADVT5,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00006/ADV,,	local-authority:DNC,,2023-03-03,2023-03-03,
23/00006/ADV-8,23/00006/ADV,ADVT6,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00006/ADV,,	local-authority:DNC,,2023-03-03,2023-03-03,
23/00008/FUL-1,23/00008/FUL,STAT1,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00008/FUL,,	local-authority:DNC,,2023-02-20,2023-02-20,
23/00008/FUL-2,23/00008/FUL,U0106044,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00008/FUL,,	local-authority:DNC,,2023-02-20,2023-02-20,
23/00008/FUL-3,23/00008/FUL,U0106045,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00008/FUL,,	local-authority:DNC,,2023-02-20,2023-02-20,
23/00008/FUL-4,23/00008/FUL,U0106046,https://iawpad.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=23/00008/FUL,,	local-authority:DNC,,2023-02-20,2023-02-20,
